Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K9,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K9,Br-,ppm,(6)2,-,22.1,53.5,4.66,12.8,50.5
K9,Ca,ppm,300,-,50.5,47.1,97.5,59.8,43.2
K9,Cd,ppm,3,0.01,1,1,1,1,1
K9,Cl-,ppm,250(400),600,36.8,26.5,107.3,91.2,70.86
K9,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K9,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K9,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K9,Electrical Conductivity,mS.cm-1,1.5,3,1.92,2.81,2.87,1.86,1.59
K9,F-,ppm,0.5-1.5,1,0.005,3.23,0.005,0.04,0.86
K9,Fe,ppm,0.3,5,0.13,0.13,0.33,0.27,0.19
K9,Hg,ppm,6,-,1,1,0.24,0.005,1
K9,K,ppm,12,-,6.2,13.4,22.9,9.87,18.3
K9,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K9,Mg,ppm,30,100,14.4,4.33,22.7,18.2,10.3
K9,Mn,ppm,0.1(0.4),0.2,0.005,0.17,0.12,0.2,0.11
K9,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K9,Na,ppm,200,-,101.2,24.9,155,75.1,40.5
K9,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K9,Opacity,NTU,≤1(5),50,62.1,78.94,91.27,80.81,76.77
K9,Oxygen Solution,ppm,-,2,3.6,2.7,2.4,0.9,1.8
K9,P,ppm,-,-,0.19,0.28,0.26,0.31,0.3
K9,Pb,ppm,0.01,1,0.005,0.005,0.22,0.005,0.18
K9,pH,-,6.5-8.5(9),5.4-6.8,8.13,8.74,8.23,8.51,8.32
K9,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K9,Se,ppm,0.01,0.02,0.005,0.005,0.005,0.005,0.005
K9,Si,ppm,-,-,8.24,5.68,12.5,10.4,7.6
K9,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K9,Sr,ppm,7,-,0.17,0.25,1.28,1.64,0.92
K9,Temperature,◦C,-,-,22.8,23.5,30.4,28.7,25.1
K9,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K9,Tl,ppm,-,-,0.14,0.37,0.005,0.005,0.005
K9,TOC,ppm,2,4,23.76,28.25,12.77,15.29,21.93
K9,Total Soluble Solids,ppm,1000(1500),-,1228,1798,1835,1190,1017
K9,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K9,Zn,ppm,3,2,0.005,0.005,0.39,0.005,0.005
KR1,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR1,Al,ppm,0.1(0.2),5,0.13,0.07,0.88,0.59,0.17
KR1,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR1,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR1,Ba,ppm,0.7,1,0.005,0.29,0.005,0.005,0.39
KR1,Bi,ppm,-,0.5,0.03,0.005,0.27,0.005,0.005
KR1,Br-,ppm,(6)2,-,3.68,3.34,3.12,3.41,3.87
KR1,Ca,ppm,300,-,45.4,44.8,47.3,54.3,56.9
KR1,Cd,ppm,3,0.01,1,1,1,1,1
KR1,Cl-,ppm,250(400),600,16.5,14.7,8.72,14.3,16.2
KR1,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR1,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR1,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR1,Electrical Conductivity,mS.cm-1,1.5,3,0.326,0.286,0.306,0.31,0.298
KR1,F-,ppm,0.5-1.5,1,0.37,0.27,0.13,0.41,0.28
KR1,Fe,ppm,0.3,5,0.005,0.005,0.25,0.19,0.005
KR1,Hg,ppm,6,-,1,1,1,1,1
KR1,K,ppm,12,-,0.58,0.73,0.9,0.69,0.75
KR1,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR1,Mg,ppm,30,100,7.24,6.31,5.85,5.85,6.95
KR1,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR1,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR1,Na,ppm,200,-,14.2,12.2,9.01,10.8,12.6
KR1,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR1,Opacity,NTU,≤1(5),50,13.3,6.78,4.32,3.71,4.65
KR1,Oxygen Solution,ppm,-,2,10.2,9.6,9.4,9.9,10.1
KR1,P,ppm,-,-,0.005,0.005,33,0.02,0.005
KR1,Pb,ppm,0.01,1,0.005,0.27,0.005,0.005,0.31
KR1,pH,-,6.5-8.5(9),5.4-6.8,7.86,7.82,7.65,8.16,7.94
KR1,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR1,Se,ppm,0.01,0.02,0.005,0.005,0.005,0.005,0.005
KR1,Si,ppm,-,-,4.62,3.63,3.32,3.38,3.22
KR1,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR1,Sr,ppm,7,-,0.18,0.29,0.22,0.23,0.27
KR1,Temperature,◦C,-,-,11.2,10.5,15.3,14.2,14.1
KR1,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR1,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR1,TOC,ppm,2,4,0.641,0.522,0.458,0.441,0.475
KR1,Total Soluble Solids,ppm,1000(1500),-,208.6,183,195.8,198.4,190.7
KR1,V,ppm,0.1,0.1,0.005,0.005,0.13,0.005,0.005
KR1,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR2,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR2,Al,ppm,0.1(0.2),5,0.23,0.06,0.76,0.88,0.191
KR2,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR2,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR2,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KR2,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KR2,Br-,ppm,(6)2,-,3.46,2.99,2.26,3.86,3.78
KR2,Ca,ppm,300,-,43.02,45.2,47.3,58.4,56
KR2,Cd,ppm,3,0.01,1,1,1,1,1
KR2,Cl-,ppm,250(400),600,16.3,15.4,10.9,14.1,16.4
KR2,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR2,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR2,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR2,Electrical Conductivity,mS.cm-1,1.5,3,0.331,0.293,0.305,0.341,0.311
KR2,F-,ppm,0.5-1.5,1,0.32,0.38,0.11,0.38,0.31
KR2,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
KR2,Hg,ppm,6,-,1,1,1,1,1
KR2,K,ppm,12,-,0.58,0.69,0.79,0.9,3.75
KR2,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR2,Mg,ppm,30,100,7.24,6.38,5.87,5.85,6.95
KR2,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR2,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR2,Na,ppm,200,-,14.2,12,9.53,9.01,12.6
KR2,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR2,Opacity,NTU,≤1(5),50,12.3,6.72,4.1,3.89,4.78
KR2,Oxygen Solution,ppm,-,2,10.5,9.7,9.5,9.8,10.2
KR2,P,ppm,-,-,0.005,67,0.005,33,0.005
KR2,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.31
KR2,pH,-,6.5-8.5(9),5.4-6.8,7.77,7.96,7.94,8.14,7.96
KR2,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR2,Se,ppm,0.01,0.02,0.005,0.005,0.005,0.005,0.005
KR2,Si,ppm,-,-,4.6,3.78,3.44,3.32,3.22
KR2,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR2,Sr,ppm,7,-,0.31,0.28,0.22,0.26,0.25
KR2,Temperature,◦C,-,-,11.6,11.1,15.7,14.4,14.5
KR2,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR2,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR2,TOC,ppm,2,4,0.587,0.52,0.368,0.401,0.487
KR2,Total Soluble Solids,ppm,1000(1500),-,211.8,187.5,195.2,218.2,199.4
KR2,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.08
KR2,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR3,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR3,Al,ppm,0.1(0.2),5,0.16,0.67,0.72,0.97,0.84
KR3,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR3,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR3,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KR3,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KR3,Br-,ppm,(6)2,-,3.54,2.24,2.19,3.75,3.71
KR3,Ca,ppm,300,-,40.1,44,48.5,57.9,58
KR3,Cd,ppm,3,0.01,1,1,1,1,1
KR3,Cl-,ppm,250(400),600,16.7,16.6,10.5,14.2,16.4
KR3,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR3,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR3,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR3,Electrical Conductivity,mS.cm-1,1.5,3,0.333,0.274,0.312,0.315,0.33
KR3,F-,ppm,0.5-1.5,1,0.37,0.52,0.1,0.27,0.26
KR3,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
KR3,Hg,ppm,6,-,1,1,1,1,1
KR3,K,ppm,12,-,0.06,0.71,0.84,1.15,0.68
KR3,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR3,Mg,ppm,30,100,7.58,6.2,5.93,6.01,6.83
KR3,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR3,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR3,Na,ppm,200,-,11.7,12.1,9,7.89,12.9
KR3,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR3,Opacity,NTU,≤1(5),50,13.3,6.76,4.54,3.68,5.18
KR3,Oxygen Solution,ppm,-,2,10,9.5,9.3,7.8,9.2
KR3,P,ppm,-,-,0.005,0.11,29,0.04,0.11
KR3,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
KR3,pH,-,6.5-8.5(9),5.4-6.8,7.89,7.87,8.05,8.1,8.21
KR3,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR3,Se,ppm,0.01,0.02,0.005,0.005,0.31,0.18,0.25
KR3,Si,ppm,-,-,4.53,3.74,3.45,3.23,3.72
KR3,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR3,Sr,ppm,7,-,0.26,0.28,0.23,0.15,0.34
KR3,Temperature,◦C,-,-,11.8,11.5,15.9,14.7,14.9
KR3,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR3,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR3,TOC,ppm,2,4,0.512,0.477,0.539,0.418,0.498
KR3,Total Soluble Solids,ppm,1000(1500),-,211.2,175.3,199.6,201.6,211.1
KR3,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
KR3,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR4,Ag,ppm,-,0.1,0.41,0.005,0.005,0.71,0.15
KR4,Al,ppm,0.1(0.2),5,0.05,0.67,0.88,0.87,0.49
KR4,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR4,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR4,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KR4,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KR4,Br-,ppm,(6)2,-,3.51,2.24,2.33,1.66,3.82
KR4,Ca,ppm,300,-,40.5,44,55.2,58,57.3
KR4,Cd,ppm,3,0.01,1,1,1,1,1
KR4,Cl-,ppm,250(400),600,16.08,16.6,9.62,14.3,16.95
KR4,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR4,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR4,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR4,Electrical Conductivity,mS.cm-1,1.5,3,0.361,0.315,0.298,0.318,0.339
KR4,F-,ppm,0.5-1.5,1,0.61,0.52,0.12,0.31,0.31
KR4,Fe,ppm,0.3,5,0.005,0.005,0.41,0.005,0.22
KR4,Hg,ppm,6,-,1,1,1,1,1
KR4,K,ppm,12,-,0.78,0.71,0.75,0.84,0.58
KR4,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR4,Mg,ppm,30,100,6.34,6.2,5.86,6.03,5.22
KR4,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR4,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR4,Na,ppm,200,-,11.8,12.1,8.83,7.86,8.01
KR4,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR4,Opacity,NTU,≤1(5),50,12.74,5.54,4.48,3.68,5.18
KR4,Oxygen Solution,ppm,-,2,10.1,9.1,8.8,7.8,9.2
KR4,P,ppm,-,-,0.96,0.11,0.05,0.18,0.27
KR4,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
KR4,pH,-,6.5-8.5(9),5.4-6.8,7.87,7.74,8.11,8.1,8.21
KR4,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR4,Se,ppm,0.01,0.02,0.005,0.005,0.06,0.03,0.005
KR4,Si,ppm,-,-,3.76,3.74,3.46,3.15,3.77
KR4,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR4,Sr,ppm,7,-,0.27,0.28,0.26,0.25,0.21
KR4,Temperature,◦C,-,-,13.1,12.7,16.8,15.8,15.9
KR4,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR4,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR4,TOC,ppm,2,4,0.522,0.491,0.493,0.461,0.547
KR4,Total Soluble Solids,ppm,1000(1500),-,231,201,190.7,203.5,216.9
KR4,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
KR4,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR5,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR5,Al,ppm,0.1(0.2),5,0.13,0.49,0.46,0.08,0.15
KR5,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR5,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR5,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.39
KR5,Bi,ppm,-,0.5,0.03,0.005,0.005,0.005,0.005
KR5,Br-,ppm,(6)2,-,3.63,5.33,2.06,4.41,4.02
KR5,Ca,ppm,300,-,45,51.3,49.5,53.9,57.8
KR5,Cd,ppm,3,0.01,1,1,1,1,1
KR5,Cl-,ppm,250(400),600,16.54,39.1,28.9,15.32,18.24
KR5,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR5,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR5,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR5,Electrical Conductivity,mS.cm-1,1.5,3,0.367,0.341,0.383,0.398,0.431
KR5,F-,ppm,0.5-1.5,1,0.32,0.41,0.13,0.39,0.27
KR5,Fe,ppm,0.3,5,0.005,0.005,0.24,0.21,0.005
KR5,Hg,ppm,6,-,1,1,1,1,1
KR5,K,ppm,12,-,0.52,0.98,0.99,1.01,0.75
KR5,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR5,Mg,ppm,30,100,6.94,7.69,6.7,5.93,7.03
KR5,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR5,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR5,Na,ppm,200,-,13.98,23.3,23.1,20.1,12.54
KR5,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR5,Opacity,NTU,≤1(5),50,13.75,6.04,4.84,3.85,5.9
KR5,Oxygen Solution,ppm,-,2,10.2,8.7,8.2,9.9,8.1
KR5,P,ppm,-,-,0.005,78,38,24,57
KR5,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.31
KR5,pH,-,6.5-8.5(9),5.4-6.8,7.87,7.93,9.17,8.17,7.92
KR5,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR5,Se,ppm,0.01,0.02,0.005,0.005,0.005,0.005,0.005
KR5,Si,ppm,-,-,4.39,3.08,2.61,2.96,3.38
KR5,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR5,Sr,ppm,7,-,0.2,0.44,0.31,0.22,0.27
KR5,Temperature,◦C,-,-,13.4,11.9,16.7,16.1,16.3
KR5,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR5,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR5,TOC,ppm,2,4,0.741,0.79,0.504,0.497,0.675
KR5,Total Soluble Solids,ppm,1000(1500),-,234.8,218.2,245.1,245.7,275.8
KR5,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
KR5,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR6,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR6,Al,ppm,0.1(0.2),5,0.12,0.005,0.85,0.89,0.16
KR6,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR6,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR6,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.28
KR6,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KR6,Br-,ppm,(6)2,-,3.78,22.9,2.94,4.24,4.32
KR6,Ca,ppm,300,-,48.7,76.8,56.1,54.7,55.9
KR6,Cd,ppm,3,0.01,1,1,1,1,1
KR6,Cl-,ppm,250(400),600,17.32,52.5,28.2,14.43,16.62
KR6,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR6,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR6,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR6,Electrical Conductivity,mS.cm-1,1.5,3,0.478,0.336,0.587,0.481,0.598
KR6,F-,ppm,0.5-1.5,1,0.39,0.32,0.19,0.43,0.27
KR6,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
KR6,Hg,ppm,6,-,1,1,1,1,1
KR6,K,ppm,12,-,0.68,2.55,1.96,0.88,0.77
KR6,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR6,Mg,ppm,30,100,7.32,12.8,6.26,6.1,7.02
KR6,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR6,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR6,Na,ppm,200,-,13.98,75.6,32.4,8.89,12.52
KR6,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR6,Opacity,NTU,≤1(5),50,13.38,6.78,4.3,3.7,4.6
KR6,Oxygen Solution,ppm,-,2,10.2,8.4,5.8,9.9,10.1
KR6,P,ppm,-,-,0.005,0.16,0.005,0.005,0.005
KR6,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
KR6,pH,-,6.5-8.5(9),5.4-6.8,7.88,8.1,8.04,8.17,8
KR6,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR6,Se,ppm,0.01,0.02,0.005,0.005,0.14,0.11,0.16
KR6,Si,ppm,-,-,5.12,5.17,3.55,3.25,3.19
KR6,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR6,Sr,ppm,7,-,0.28,0.61,0.38,0.23,0.29
KR6,Temperature,◦C,-,-,14.1,12.2,17.2,16.4,16.9
KR6,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR6,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR6,TOC,ppm,2,4,0.874,0.912,0.644,0.781,0.971
KR6,Total Soluble Solids,ppm,1000(1500),-,311.6,215,375.6,307.8,382.7
KR6,V,ppm,0.1,0.1,0.005,0.005,0.88,0.005,0.005
KR6,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR7,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR7,Al,ppm,0.1(0.2),5,0.14,0.05,0.05,0.09,0.16
KR7,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR7,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR7,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KR7,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KR7,Br-,ppm,(6)2,-,3.87,11.2,5.45,7.56,7.32
KR7,Ca,ppm,300,-,47,65.7,91.6,51.9,55.9
KR7,Cd,ppm,3,0.01,1,1,1,1,1
KR7,Cl-,ppm,250(400),600,15.74,56.9,66.3,14.22,17.34
KR7,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR7,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR7,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR7,Electrical Conductivity,mS.cm-1,1.5,3,0.657,0.571,0.778,0.642,0.68
KR7,F-,ppm,0.5-1.5,1,0.39,0.005,0.005,0.41,0.26
KR7,Fe,ppm,0.3,5,0.005,0.005,0.52,0.21,0.005
KR7,Hg,ppm,6,-,1,1,1,1,1
KR7,K,ppm,12,-,0.23,1.83,3.06,1.23,1.56
KR7,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR7,Mg,ppm,30,100,6.54,10.5,15,6.43,7.46
KR7,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.33,0.28,0.005
KR7,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR7,Na,ppm,200,-,32.23,45.7,61.3,12.1,14.34
KR7,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR7,Opacity,NTU,≤1(5),50,17.87,8.34,4.92,3.23,7.98
KR7,Oxygen Solution,ppm,-,2,5.4,4.2,3.8,4.7,9.8
KR7,P,ppm,-,-,0.005,0.16,61,32,0.005
KR7,Pb,ppm,0.01,1,0.005,0.005,0.25,0.18,0.29
KR7,pH,-,6.5-8.5(9),5.4-6.8,7.89,8.3,7.74,8.34,8.18
KR7,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR7,Se,ppm,0.01,0.02,0.005,0.57,0.61,0.78,0.67
KR7,Si,ppm,-,-,4.14,2.83,5.08,2.32,2.78
KR7,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR7,Sr,ppm,7,-,0.17,0.58,0.6,0.23,0.24
KR7,Temperature,◦C,-,-,14.5,12.7,17.8,16.9,16.8
KR7,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR7,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR7,TOC,ppm,2,4,1.541,1.349,1.138,1.021,1.237
KR7,Total Soluble Solids,ppm,1000(1500),-,216,365.44,497.92,189.34,175.37
KR7,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
KR7,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR8,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR8,Al,ppm,0.1(0.2),5,0.02,0.53,0.35,0.04,0.16
KR8,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR8,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR8,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
KR8,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
KR8,Br-,ppm,(6)2,-,4.02,4.61,1.59,4.66,5.34
KR8,Ca,ppm,300,-,43,49.7,57.1,56.1,52.8
KR8,Cd,ppm,3,0.01,1,1,1,1,1
KR8,Cl-,ppm,250(400),600,31.74,61,40.5,20.22,23.34
KR8,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
KR8,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
KR8,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
KR8,Electrical Conductivity,mS.cm-1,1.5,3,0.501,0.351,0.562,0.413,0.473
KR8,F-,ppm,0.5-1.5,1,0.32,0.23,0.23,0.38,0.25
KR8,Fe,ppm,0.3,5,0.005,0.005,0.46,0.11,0.005
KR8,Hg,ppm,6,-,1,1,1,1,1
KR8,K,ppm,12,-,0.88,1.69,1.84,1.72,0.75
KR8,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
KR8,Mg,ppm,30,100,5.34,10.2,9.98,7.03,7.82
KR8,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
KR8,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
KR8,Na,ppm,200,-,30.84,46,43.7,11.83,12.34
KR8,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
KR8,Opacity,NTU,≤1(5),50,15.54,7.94,6.22,5.24,8.79
KR8,Oxygen Solution,ppm,-,2,10.4,8,6.5,4.7,9.8
KR8,P,ppm,-,-,0.32,0.77,0.65,0.81,0.51
KR8,Pb,ppm,0.01,1,0.005,0.005,0.26,0.18,0.005
KR8,pH,-,6.5-8.5(9),5.4-6.8,7.89,8.41,8.16,8.34,8.18
KR8,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
KR8,Se,ppm,0.01,0.02,0.005,0.61,0.53,0.41,0.31
KR8,Si,ppm,-,-,4.14,1.21,2.89,1.32,2.63
KR8,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR8,Sr,ppm,7,-,0.17,0.52,0.44,0.23,0.24
KR8,Temperature,◦C,-,-,15.1,13.2,18.2,17.4,17.1
KR8,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
KR8,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
KR8,TOC,ppm,2,4,1.273,1.178,0.861,0.809,1.102
KR8,Total Soluble Solids,ppm,1000(1500),-,320.6,224.6,359.6,264.3,302.7
KR8,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
KR8,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
KR9,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
KR9,Al,ppm,0.1(0.2),5,0.18,0.37,0.85,0.06,0.04
KR9,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
KR9,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
KR9,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
