Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K13,Br-,ppm,(6)2,-,45.1,168.7,65.6,102.3,106.5
K13,Ca,ppm,300,-,78.3,89.2,88.5,90.3,77.2
K13,Cd,ppm,3,0.01,1,1,1,1,1
K13,Cl-,ppm,250(400),600,79.4,102.5,102.9,72.1,55.6
K13,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K13,Cr,ppm,0.05,0.1,0.005,0.17,0.005,0.005,0.005
K13,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K13,Electrical Conductivity,mS.cm-1,1.5,3,0.884,0.975,1.19,1.17,0.93
K13,F-,ppm,0.5-1.5,1,0.005,0.005,0.06,0.005,0.02
K13,Fe,ppm,0.3,5,0.11,0.005,0.005,0.005,0.11
K13,Hg,ppm,6,-,0.47,0.65,1,1,0.21
K13,K,ppm,12,-,3.4,0.87,1.33,4.53,1.37
K13,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K13,Mg,ppm,30,100,34.3,40.1,32.2,49.1,30.6
K13,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K13,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K13,Na,ppm,200,-,87.2,144.7,115.6,64.3,48.2
K13,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K13,Opacity,NTU,≤1(5),50,18.33,12.81,10.37,15.41,26.24
K13,Oxygen Solution,ppm,-,2,8.2,6.7,6.9,5.4,3.9
K13,P,ppm,-,-,0.23,0.17,56,0.08,0.63
K13,Pb,ppm,0.01,1,0.005,0.35,0.005,0.06,0.005
K13,pH,-,6.5-8.5(9),5.4-6.8,7.63,7.08,7.18,7.77,8.12
K13,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K13,Se,ppm,0.01,0.02,0.22,0.69,0.2,0.13,0.04
K13,Si,ppm,-,-,9.6,13.3,8.56,9.87,5.96
K13,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K13,Sr,ppm,7,-,0.92,1.71,1.66,2.14,1.61
K13,Temperature,◦C,-,-,22.2,16.5,18.1,25.9,28.4
K13,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K13,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K13,TOC,ppm,2,4,0.462,0.454,0.348,0.298,0.483
K13,Total Soluble Solids,ppm,1000(1500),-,565.5,624,765.4,747.2,592.2
K13,V,ppm,0.1,0.1,0.005,0.005,0.005,0.005,0.005
K13,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K14,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K14,Al,ppm,0.1(0.2),5,0.005,0.32,0.15,0.13,0.005
K14,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K14,B,ppm,0.5,3,0.005,0.005,0.005,0.005,0.005
K14,Ba,ppm,0.7,1,0.005,0.04,0.005,0.005,0.005
K14,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K14,Br-,ppm,(6)2,-,44.1,36.5,42.6,40.4,52.1
K14,Ca,ppm,300,-,79.6,79.6,71.7,80.42,89.2
K14,Cd,ppm,3,0.01,1,1,1,1,1
K14,Cl-,ppm,250(400),600,82.1,71.5,88.7,66.7,52.9
K14,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K14,Cr,ppm,0.05,0.1,0.18,0.22,0.005,0.005,0.005
K14,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K14,Electrical Conductivity,mS.cm-1,1.5,3,0.914,1.01,1.35,1.22,1.08
K14,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.005,0.04
K14,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
K14,Hg,ppm,6,-,1,1,1,1,1
K14,K,ppm,12,-,3.1,1.46,1.64,4.69,1.44
K14,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K14,Mg,ppm,30,100,35.5,30.4,20.2,52.1,29.8
